pfas_type,a_kd_sediment_ttf,a2_kd_seston_ttf,b_kd_biofilm_ttf,b2_kd_detritus_ttf,c_baf_sediment_ttf,d_baf_biofilm_ttf,e_baf_detritus_ttf,f_baf_seston_ttf,g_mtf_ttf,h_ttf_ttf,,,,,Water-sediment,Water-seston,Water-biofilm,Water-detritus,,,,,,
,PFOS,127 (85.1 to 182.9),322.7 (243.2 to 429.6),554.1 (456.1 to 671.3),251.2 (181.6 to 345.2),,,,,,,,,PFOS,115.4,341.8,541.4,256.4,,,1.1,3.9,6.8,1
FTSA,6:2 FTS,1.1 (0.1 to 12.5),3.9 (0.4 to 30.7),6.8 (2.4 to 18.1),1 (0.1 to 7.8),,,,,,,,FTSA,6:2 FTS,2.3,8.4,16.6,3,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,,,,,,,,,,,,,,,,,,,,,,,,
OLD,,,,,,,,,,,,,,,,,,,,,,,,
,,Water-sediment,Water-seston,Water-biofilm,Water-detritus,,,,,,,,,,,,,,,,,,,
PFCAs,PFHxA,1321.5 (32.5 to 76807.8),7092.2 (403.9 to 260843.2),11891.3 (1355.3 to 265407.2),1823.5 (88.4 to 72147.2),,,,,,,,,,,,,,,,,,,
,PFHpA,143 (6.5 to 2274.1),440.1 (51.5 to 3651.4),731.8 (216.6 to 2556.4),105.6 (8.9 to 957.7),,,,,,,,,,,,,,,,,,,
,PFOA,112.8 (19.6 to 484.5),18.6 (2.5 to 126.3),32.8 (14 to 73.4),5.7 (0.6 to 40.3),,,,,,,,,,,,,,,,,,,
,PFNA,197.3 (80 to 473.2),337.3 (121.7 to 1010.8),207 (123 to 351.8),65.5 (20.6 to 210.9),,,,,,,,,,,,,,,,,,,
,PFDA,82.4 (6.5 to 837.5),1098.4 (307.8 to 4060.6),1056.4 (514 to 2353.9),445 (122.4 to 1669),,,,,,,,,,,,,,,,,,,
,PFUnA,91.3 (40.4 to 206),525.2 (276.4 to 1021.9),364.9 (268.2 to 510.9),60.7 (9.5 to 226.2),,,,,,,,,,,,,,,,,,,
,PFDoA,3207.8 (112.2 to 129199.7),28119.2 (2025.7 to 615598.7),47596.7 (7279.7 to 763255.2),7862.9 (473.8 to 202491.9),,,,,,,,,,,,,,,,,,,
PFSAs,PFBS,0.4 (0 to 10),0.8 (0 to 9.5),1.4 (0.2 to 6.5),0.2 (0 to 3.5),,,,,,,,,,,,,,,,,,,
,PFHxS,2.1 (0.1 to 33.1),12.5 (1.4 to 87.8),21.5 (9.1 to 51.7),3.8 (0.4 to 30.4),,,,,,,,,,,,,,,,,,,
,PFOS,115.4 (81.5 to 165.1),341.8 (256.2 to 471.2),541.4 (440.8 to 686.8),256.4 (188.5 to 355.5),,,,,,,,,,,,,,,,,,,
FTSA,6:2 FTS,2.3 (0.1 to 41.2),8.4 (1 to 61.1),16.6 (5.9 to 44.1),3 (0.3 to 24.4),,,,,,,,,,,,,,,,,,,
