type,median,low95,high95,units
Water,0.02083971554025394,0.014839638792834493,0.028098248002249263,sum_ppb
Sediment,1.275112271759547,0.49945531824125594,6.299978341905031,sum_ppb
Detritus,1.9686706815882518,1.0120620755322236,7.137272500283425,sum_ppb
Seston,5.008698423960058,2.3669153786720756,13.126569428488853,sum_ppb
Biofilm,4.657739486124093,3.3300567994517887,6.6037987625953924,sum_ppb
Larval,117.17569439916488,74.10298484401144,229.18593894851907,sum_ppb
Emergent,51.447605977265354,31.664798779520517,214.55592198707163,sum_ppb
Tetragnathidae,25.810714821162396,18.27039111735169,37.69564424341468,sum_ppb
