Sample_ID,Site,PFAS_type,Conc_ppb,Sample_type,Size_class
HB_w1_6-02,Hop Brook,42FTS,0,Water,NA
HB_w1_6-02,Hop Brook,PFPeS,0,Water,NA
HB_w1_6-02,Hop Brook,GenX,0,Water,NA
HB_w1_6-02,Hop Brook,ADONA,0,Water,NA
HB_w1_6-02,Hop Brook,PFHpA,0.0043,Water,NA
HB_w1_6-02,Hop Brook,PFHxS,0,Water,NA
HB_w1_6-02,Hop Brook,PFOA,0,Water,NA
HB_w1_6-02,Hop Brook,PFHpS,0,Water,NA
HB_w1_6-02,Hop Brook,6:2FTS,0,Water,NA
HB_w1_6-02,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w1_6-02,Hop Brook,PFNA,0,Water,NA
HB_w1_6-02,Hop Brook,PFOS,0,Water,NA
HB_w1_6-02,Hop Brook,PFNS,0,Water,NA
HB_w1_6-02,Hop Brook,8:2FTS,0,Water,NA
HB_w1_6-02,Hop Brook,PFDA,0,Water,NA
HB_w1_6-02,Hop Brook,NMeFOSAA,0,Water,NA
HB_w1_6-02,Hop Brook,PFOSA,0,Water,NA
HB_w1_6-02,Hop Brook,PFDS,0,Water,NA
HB_w1_6-02,Hop Brook,NEtFOSAA,0,Water,NA
HB_w1_6-02,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w1_6-02,Hop Brook,PFUnA,0,Water,NA
HB_w1_6-02,Hop Brook,PFDoA,0,Water,NA
HB_w1_6-02,Hop Brook,PFTrDA,0,Water,NA
HB_w1_6-02,Hop Brook,PFTA,0,Water,NA
HB_w2_6-02,Hop Brook,PFBA,0,Water,NA
HB_w2_6-02,Hop Brook,PFPeA,0,Water,NA
HB_w2_6-02,Hop Brook,PFBS,0.0039,Water,NA
HB_w2_6-02,Hop Brook,PFHxA,0,Water,NA
HB_w2_6-02,Hop Brook,42FTS,0,Water,NA
HB_w2_6-02,Hop Brook,PFPeS,0,Water,NA
HB_w2_6-02,Hop Brook,GenX,0,Water,NA
HB_w2_6-02,Hop Brook,ADONA,0,Water,NA
HB_w2_6-02,Hop Brook,PFHpA,0.0044,Water,NA
HB_w2_6-02,Hop Brook,PFHxS,0,Water,NA
HB_w2_6-02,Hop Brook,PFOA,0,Water,NA
HB_w2_6-02,Hop Brook,PFHpS,0,Water,NA
HB_w2_6-02,Hop Brook,6:2FTS,0,Water,NA
HB_w2_6-02,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w2_6-02,Hop Brook,PFNA,0,Water,NA
HB_w2_6-02,Hop Brook,PFOS,0.0024,Water,NA
HB_w2_6-02,Hop Brook,PFNS,0,Water,NA
HB_w2_6-02,Hop Brook,8:2FTS,0,Water,NA
HB_w2_6-02,Hop Brook,PFDA,0,Water,NA
HB_w2_6-02,Hop Brook,NMeFOSAA,0,Water,NA
HB_w2_6-02,Hop Brook,PFOSA,0,Water,NA
HB_w2_6-02,Hop Brook,PFDS,0,Water,NA
HB_w2_6-02,Hop Brook,NEtFOSAA,0,Water,NA
HB_w2_6-02,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w2_6-02,Hop Brook,PFUnA,0,Water,NA
HB_w2_6-02,Hop Brook,PFDoA,0,Water,NA
HB_w2_6-02,Hop Brook,PFTrDA,0,Water,NA
HB_w2_6-02,Hop Brook,PFTA,0,Water,NA
HB_w3_6-02,Hop Brook,PFBA,0,Water,NA
HB_w3_6-02,Hop Brook,PFPeA,0,Water,NA
HB_w3_6-02,Hop Brook,PFBS,0.004,Water,NA
HB_w3_6-02,Hop Brook,PFHxA,0,Water,NA
HB_w3_6-02,Hop Brook,42FTS,0,Water,NA
HB_w3_6-02,Hop Brook,PFPeS,0,Water,NA
HB_w3_6-02,Hop Brook,GenX,0,Water,NA
HB_w3_6-02,Hop Brook,ADONA,0,Water,NA
HB_w3_6-02,Hop Brook,PFHpA,0.0044,Water,NA
HB_w3_6-02,Hop Brook,PFHxS,0,Water,NA
HB_w3_6-02,Hop Brook,PFOA,0,Water,NA
HB_w3_6-02,Hop Brook,PFHpS,0,Water,NA
HB_w3_6-02,Hop Brook,6:2FTS,0,Water,NA
HB_w3_6-02,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w3_6-02,Hop Brook,PFNA,0,Water,NA
HB_w3_6-02,Hop Brook,PFOS,0,Water,NA
HB_w3_6-02,Hop Brook,PFNS,0,Water,NA
HB_w3_6-02,Hop Brook,8:2FTS,0,Water,NA
HB_w3_6-02,Hop Brook,PFDA,0,Water,NA
HB_w3_6-02,Hop Brook,NMeFOSAA,0,Water,NA
HB_w3_6-02,Hop Brook,PFOSA,0,Water,NA
HB_w3_6-02,Hop Brook,PFDS,0,Water,NA
HB_w3_6-02,Hop Brook,NEtFOSAA,0,Water,NA
HB_w3_6-02,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w3_6-02,Hop Brook,PFUnA,0,Water,NA
HB_w3_6-02,Hop Brook,PFDoA,0,Water,NA
HB_w3_6-02,Hop Brook,PFTrDA,0,Water,NA
HB_w3_6-02,Hop Brook,PFTA,0,Water,NA
RB_w1_end,Russell Brook,PFBA,0,Water,NA
RB_w1_end,Russell Brook,PFPeA,0.0067,Water,NA
RB_w1_end,Russell Brook,PFBS,0.0091,Water,NA
RB_w1_end,Russell Brook,PFHxA,0.0064,Water,NA
RB_w1_end,Russell Brook,42FTS,0,Water,NA
RB_w1_end,Russell Brook,PFPeS,0.0036,Water,NA
RB_w1_end,Russell Brook,GenX,0,Water,NA
RB_w1_end,Russell Brook,ADONA,0,Water,NA
RB_w1_end,Russell Brook,PFHpA,0.0099,Water,NA
RB_w1_end,Russell Brook,PFHxS,0,Water,NA
RB_w1_end,Russell Brook,PFOA,0.0066,Water,NA
RB_w1_end,Russell Brook,PFHpS,0,Water,NA
RB_w1_end,Russell Brook,6:2FTS,0.0361,Water,NA
RB_w1_end,Russell Brook,9Cl-PF3ONS,0,Water,NA
RB_w1_end,Russell Brook,PFNA,0.009,Water,NA
RB_w1_end,Russell Brook,PFOS,0.0144,Water,NA
RB_w1_end,Russell Brook,PFNS,0,Water,NA
RB_w1_end,Russell Brook,8:2FTS,0,Water,NA
RB_w1_end,Russell Brook,PFDA,0,Water,NA
RB_w1_end,Russell Brook,NMeFOSAA,0,Water,NA
RB_w1_end,Russell Brook,PFOSA,0,Water,NA
RB_w1_end,Russell Brook,PFDS,0,Water,NA
RB_w1_end,Russell Brook,NEtFOSAA,0,Water,NA
RB_w1_end,Russell Brook,11-ClPF3OUdS,0,Water,NA
RB_w1_end,Russell Brook,PFUnA,0,Water,NA
RB_w1_end,Russell Brook,PFDoA,0,Water,NA
RB_w1_end,Russell Brook,PFTrDA,0,Water,NA
