"COC","CESE.ID","Field.ID","Site","Sample.Type","Collected","Received","Prep.Date","Analysis.Date","Units","Compound","Conc","RL","BRL"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFPeA","ND","0.42","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFBS","ND","0.27","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFHxA","ND","0.49","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","X4.2FTS","ND","2.05","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFPeS","ND","0.21","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","GenX","ND","1.7","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","ADONA","ND","0.23","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFHpA","ND","0.49","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFHxS","ND","0.2","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFOA","ND","0.49","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFHpS","ND","0.31","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","X6.2FTS","ND","2.69","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","X9Cl.PF3ONS","ND","0.27","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFNA","ND","0.91","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFOS","0.67","0.35","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","PFNS","ND","0.72","no"
220306,"220306-005","HB_BF2_6-03","Hop Brook","Biofilm","6/3/22","8/29/22","10/13/22","10/14/22","ng/g ww","X8.2FTS","ND","2.25","no"
