pfas_category,pfas_type,pfas_order
FASA,PFOSA,1
FTSA,6:2FTS,2
FTSA,8:2FTS,3
PFCAs,PFBA,4
PFCAs,PFPeA,5
PFCAs,PFHxA,6
PFCAs,PFHpA,7
PFCAs,PFOA,8
PFCAs,PFNA,9
PFCAs,PFDA,10
PFCAs,PFUnA,11
PFCAs,PFDoA,12
PFCAs,PFTrDA,13
PFCAs,PFTA,14
PFECA,ADONA,15
PFSAs,PFBS,16
PFSAs,PFPeS,17
PFSAs,PFHxS,18
PFSAs,PFHpS,19
PFSAs,PFOS,20
PFSAs,PFNS,21
PFSAs,PFDS,22
