taxon,emergent,larval
Diptera,0.032 (0.014 to 0.092),1.3 (0.52 to 3.5)
Ephemeroptera,0.23 (0.096 to 0.68),0.44 (0.19 to 1.2)
Odonata,0.5 (0.15 to 1.6),5.2 (2.3 to 13)
Plecoptera,0.33 (0.15 to 0.8),0.59 (0.24 to 1.8)
Trichoptera,0.49 (0.23 to 1.2),1.7 (0.8 to 4.1)
