pfas_type,r2,.lower,.upper,.width,.point,.interval
PFNA,0.765798736660155,0.738400931951533,0.7861391630799437,0.95,median,qi
PFOA,0.5460973717160802,0.502469790667043,0.6064627943582148,0.95,median,qi
PFOS,0.580991364299976,0.5500394218491671,0.5988333808976302,0.95,median,qi
PFUnA,0.7668420147235133,0.7346555941349303,0.7863596712190619,0.95,median,qi
Overall Model,0.8412807072743921,0.8284552470280158,0.8518458890915475,0.95,median,qi
