sample_type,d13c,d15n
Emergent Diptera,-25 (-26 to -24),6.8 (6.2 to 7.3)
Emergent Ephemeroptera,-27 (-28 to -26),7.8 (7.3 to 8.4)
Emergent Odonata,-27 (-29 to -26),8.9 (8 to 9.7)
Emergent Plecoptera,-27 (-28 to -26),7.8 (7.2 to 8.3)
Emergent Trichoptera,-27 (-28 to -26),9.8 (9.3 to 10)
Spider,-26 (-27 to -26),8.1 (7.8 to 8.5)
