taxon,larval,emergent,mef
Diptera,5.4 (2.8 to 12),26 (14 to 57),4.9 (1.8 to 13)
Ephemeroptera,41 (21 to 94),18 (8.9 to 42),0.43 (0.16 to 1.2)
Odonata,39 (21 to 83),5.9 (2.1 to 14),0.15 (0.044 to 0.4)
Plecoptera,51 (27 to 120),62 (33 to 130),1.2 (0.47 to 3.2)
Trichoptera,22 (14 to 40),43 (26 to 84),2 (0.97 to 4.1)
