pfas_type,slope,.lower,.upper,.width,.point,.interval
PFNA,0.5966557506010852,0.3697817997434485,0.7185277230899565,0.95,median,qi
PFOA,0.6600273396466783,0.5331224896971163,0.8981371123047547,0.95,median,qi
PFOS,0.6014361403791627,0.3824284061863205,0.7671035232860868,0.95,median,qi
PFUnA,0.6203771539182725,0.4609466369930584,0.7686434136506318,0.95,median,qi
Overall Model,0.619322658197862,0.49855316645831127,0.7277420132359941,0.95,median,qi
