taxon,center_interval,metric
Diptera,478 (78 to 1352),Change in Body Burden adult:larval ng/individual
Ephemeroptera,-1094 (-4445 to 863),Change in Body Burden adult:larval ng/individual
Odonata,-869 (-2231 to -231),Change in Body Burden adult:larval ng/individual
Plecoptera,-1798 (-5523 to -191),Change in Body Burden adult:larval ng/individual
Trichoptera,1047 (-146 to 3308),Change in Body Burden adult:larval ng/individual
