site,.category,Emergent Diptera,Emergent Ephemeroptera,Emergent Plecoptera,Emergent Trichoptera,Spider,Emergent Odonata
Burr Pond Brook,d13c,-26 (-27 to -24),-29 (-31 to -27),-28 (-29 to -26),-29 (-30 to -27),-27 (-28 to -26),NA
Burr Pond Brook,d15n,3.7 (2.7 to 5),6.2 (4.9 to 7.2),3.7 (2.7 to 4.9),7.8 (6.9 to 8.5),6.1 (5.4 to 6.6),NA
Hop Brook,d13c,-26 (-28 to -25),-28 (-30 to -26),NA,-27 (-29 to -25),-27 (-29 to -26),-27 (-29 to -26)
Hop Brook,d15n,5.6 (4.7 to 6.5),6.4 (5.4 to 7.4),NA,7.6 (6.7 to 9),6.9 (6 to 7.9),8.9 (8 to 9.7)
Ratlum Brook,d13c,-25 (-26 to -24),-24 (-27 to -22),-26 (-28 to -25),-25 (-27 to -23),-27 (-28 to -25),NA
Ratlum Brook,d15n,5.1 (4.4 to 6),6.1 (5.2 to 7.1),6.1 (5.3 to 6.8),8.3 (7.3 to 9.3),6.4 (5.8 to 7),NA
Pequabuck River,d13c,-24 (-26 to -23),-29 (-31 to -26),-26 (-28 to -25),-26 (-28 to -24),-25 (-26 to -24),NA
Pequabuck River,d15n,13 (11 to 14),13 (12 to 14),13 (12 to 14),15 (14 to 16),13 (13 to 14),NA
